This is the output file for ECLiPSe - Sudoku.

The numbers in the following tables represent [execution time in milliseconds]/[number of backtracks]. The headers for the columns represent the difficulty of the puzzle; the headers for the rows represent the [Selection method]/[Choice method] for the search.


TRADITIONAL SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
most_constrained/indomain_max	[0]/3	[0]/6	[32]/187	[78]/558	[15]/73	[15]/79	[32]/205	[16]/40	[170]/1094	[110]/963	[140]/826	[32]/187	[108]/747	[63]/391	[62]/391	[811]/5258	[32]/250	[703]/4704	[155]/929	[0]/0	
most_constrained/indomain_reverse_min	[0]/3	[0]/6	[32]/187	[78]/558	[15]/73	[15]/79	[32]/205	[16]/40	[170]/1094	[110]/963	[140]/826	[17]/187	[123]/747	[64]/391	[61]/391	[811]/5258	[47]/250	[688]/4704	[170]/929	[0]/0	
most_constrained/indomain_reverse_max	[0]/0	[0]/4	[125]/773	[63]/476	[62]/377	[63]/424	[0]/5	[62]/354	[110]/750	[110]/871	[248]/1454	[125]/773	[140]/1074	[79]/378	[63]/378	[373]/2354	[125]/1021	[391]/3090	[109]/661	[0]/0	
most_constrained/indomain_middle	[0]/1	[0]/0	[141]/774	[77]/473	[47]/241	[46]/214	[0]/67	[79]/383	[203]/1078	[108]/836	[110]/549	[140]/774	[157]/1031	[61]/356	[64]/356	[15]/70	[171]/1167	[687]/4589	[31]/208	[15]/0	
most_constrained/indomain_median	[0]/3	[0]/6	[17]/187	[93]/558	[47]/273	[47]/287	[46]/205	[47]/253	[172]/1094	[125]/963	[93]/522	[32]/187	[124]/747	[62]/391	[63]/391	[297]/1797	[30]/250	[828]/5511	[46]/254	[0]/0	
most_constrained/indomain_split	[0]/0	[0]/4	[125]/773	[62]/476	[63]/377	[77]/424	[0]/5	[63]/354	[125]/750	[94]/871	[265]/1454	[125]/773	[140]/1074	[78]/378	[63]/378	[374]/2354	[125]/1021	[404]/3090	[110]/661	[0]/0	
most_constrained/indomain_reverse_split	[0]/3	[0]/6	[32]/187	[78]/558	[15]/73	[15]/79	[32]/205	[16]/40	[170]/1094	[111]/963	[139]/826	[17]/187	[123]/747	[64]/391	[61]/391	[828]/5258	[30]/250	[719]/4704	[156]/929	[0]/0	
most_constrained/indomain_random	[0]/1	[0]/4	[15]/101	[78]/471	[0]/12	[32]/195	[30]/113	[16]/133	[125]/758	[156]/1329	[186]/1034	[142]/819	[233]/1712	[125]/689	[78]/377	[562]/3538	[93]/645	[483]/3145	[33]/206	[0]/0	
most_constrained/indomain_interval	[15]/0	[0]/4	[125]/773	[77]/476	[63]/377	[77]/424	[0]/5	[78]/354	[125]/750	[125]/871	[282]/1454	[125]/773	[171]/1074	[77]/378	[78]/378	[390]/2354	[142]/1021	[451]/3090	[125]/661	[0]/0	
max_regret/indomain	[0]/2	[0]/0	[2856]/10379	[2917]/11228	[62]/163	[140]/294	[48]/103	[280]/1002	[1436]/4180	[62]/308	[4633]/13251	[2839]/10379	[1841]/6919	[155]/417	[142]/417	[265]/874	[0]/11	[888]/3537	[63]/175	[15]/9	
max_regret/indomain_min	[0]/2	[0]/0	[3043]/10379	[3182]/11228	[78]/163	[125]/294	[63]/103	[312]/1002	[1528]/4180	[63]/308	[4914]/13251	[3058]/10379	[1965]/6919	[156]/417	[155]/417	[282]/874	[0]/11	[966]/3537	[64]/175	[0]/9	
max_regret/indomain_max	[0]/2	[15]/29	[749]/2626	[2215]/7549	[0]/24	[31]/87	[375]/811	[920]/2791	[936]/2602	[22932]/97512	[2902]/7900	[733]/2626	[249]/876	[125]/344	[141]/344	[1528]/4675	[952]/3687	[4602]/15542	[1326]/3698	[0]/7	
max_regret/indomain_reverse_min	[0]/2	[16]/29	[733]/2626	[2231]/7549	[15]/24	[31]/87	[359]/811	[936]/2791	[952]/2602	[23057]/97512	[2901]/7900	[749]/2626	[250]/876	[125]/344	[140]/344	[1529]/4675	[951]/3687	[4634]/15542	[1341]/3698	[0]/7	
max_regret/indomain_reverse_max	[0]/2	[0]/0	[3073]/10379	[3167]/11228	[63]/163	[124]/294	[46]/103	[313]/1002	[1529]/4180	[78]/308	[4914]/13251	[3073]/10379	[1981]/6919	[172]/417	[156]/417	[280]/874	[0]/11	[951]/3537	[79]/175	[0]/9	
max_regret/indomain_middle	[0]/4	[0]/6	[2184]/6734	[1794]/5795	[63]/127	[140]/292	[217]/450	[953]/2548	[187]/507	[22698]/87026	[2075]/5066	[2184]/6734	[1545]/4873	[93]/238	[94]/238	[1778]/4999	[858]/2958	[3089]/9831	[796]/2088	[0]/1	
max_regret/indomain_median	[0]/4	[0]/28	[343]/1286	[843]/2825	[62]/136	[141]/332	[358]/750	[1108]/3232	[484]/1238	[23961]/97513	[1763]/4599	[328]/1286	[15]/18	[125]/333	[140]/333	[1607]/4702	[999]/3687	[4992]/16304	[1357]/3644	[0]/0	
max_regret/indomain_split	[0]/2	[0]/0	[3136]/10379	[3260]/11228	[78]/163	[141]/294	[46]/103	[312]/1002	[1560]/4180	[78]/308	[4992]/13251	[3136]/10379	[2028]/6919	[155]/417	[157]/417	[296]/874	[0]/11	[983]/3537	[62]/175	[16]/9	
max_regret/indomain_reverse_split	[0]/2	[16]/29	[749]/2626	[2277]/7549	[16]/24	[31]/87	[374]/811	[951]/2791	[968]/2602	[23712]/97512	[2949]/7900	[749]/2626	[264]/876	[125]/344	[141]/344	[1560]/4675	[967]/3687	[4712]/15542	[1341]/3698	[0]/7	
max_regret/indomain_random	[16]/3	[0]/23	[515]/1926	[3244]/11062	[63]/150	[140]/296	[343]/762	[94]/266	[686]/1869	[7208]/29408	[6442]/17353	[3494]/11741	[2263]/7785	[218]/596	[16]/31	[187]/488	[608]/2319	[578]/2119	[733]/2075	[15]/2	
max_regret/indomain_interval	[0]/2	[0]/0	[3230]/10379	[3400]/11228	[63]/163	[140]/294	[63]/103	[327]/1002	[1607]/4180	[78]/308	[5164]/13251	[3245]/10379	[2090]/6919	[172]/417	[156]/417	[312]/874	[0]/11	[1013]/3537	[79]/175	[0]/9	
ALTERNATIVE SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
COMBINED SOLUTION

		verydifficult	expert	lambda	hard17	symme	eastermonster	tarek_052	goldennugget	coloin	extra1	extra2	extra3	extra4	fin	inkara2012	clue18	clue17	sudowiki_nb28	sudowiki_nb49	veryeasy	
